,end_date,count
0,2024-02-10 09:45,1
1,2024-02-10 10:45,1
2,2024-02-10 11:45,7
3,2024-02-10 12:00,1
4,2024-02-10 13:15,1
5,2024-02-10 14:00,1
6,2024-02-10 16:00,3
7,2024-02-10 16:15,9
8,2024-02-11 16:00,3
9,2024-02-11 16:15,1
10,2024-02-12 09:45,5
11,2024-02-12 10:30,1
12,2024-02-12 10:45,1
13,2024-02-12 11:45,23
14,2024-02-12 13:15,2
15,2024-02-12 14:15,27
16,2024-02-12 16:00,7
17,2024-02-12 16:15,25
18,2024-02-13 09:45,10
19,2024-02-13 10:45,2
20,2024-02-13 11:30,1
21,2024-02-13 11:45,36
22,2024-02-13 12:30,1
23,2024-02-13 14:15,21
24,2024-02-13 15:15,1
25,2024-02-13 15:45,4
26,2024-02-13 16:00,6
27,2024-02-13 16:15,22
28,2024-02-13 17:30,83
29,2024-02-13 18:00,4
30,2024-02-14 09:45,11
31,2024-02-14 10:00,116
32,2024-02-14 11:30,1
33,2024-02-14 11:45,41
34,2024-02-14 12:00,9
35,2024-02-14 14:00,2
36,2024-02-14 14:15,29
37,2024-02-14 15:15,2
38,2024-02-14 16:00,6
39,2024-02-14 16:15,29
40,2024-02-14 18:00,15
41,2024-02-15 09:45,12
42,2024-02-15 10:45,3
43,2024-02-15 11:45,43
44,2024-02-15 12:30,2
45,2024-02-15 13:45,4
46,2024-02-15 14:15,28
47,2024-02-15 15:00,2
48,2024-02-15 15:15,3
49,2024-02-15 16:00,7
50,2024-02-15 16:15,32
51,2024-02-15 17:15,1
52,2024-02-15 18:00,1
53,2024-02-16 09:45,25
54,2024-02-16 10:45,5
55,2024-02-16 11:45,41
56,2024-02-16 12:15,1
57,2024-02-16 12:30,2
58,2024-02-16 14:15,32
59,2024-02-16 15:15,4
60,2024-02-16 16:00,6
61,2024-02-16 16:15,26
62,2024-02-16 16:30,1
63,2024-02-16 18:00,2
64,2024-02-16 19:45,8
65,2024-02-17 09:45,2
66,2024-02-17 11:45,7
67,2024-02-17 16:00,6
68,2024-02-17 16:15,10
69,2024-02-18 16:00,6
70,2024-02-18 16:15,1
71,2024-02-19 09:45,8
72,2024-02-19 10:45,3
73,2024-02-19 11:30,2
74,2024-02-19 11:45,25
75,2024-02-19 13:15,1
76,2024-02-19 13:45,2
77,2024-02-19 14:15,23
78,2024-02-19 15:15,5
79,2024-02-19 16:00,8
80,2024-02-19 16:15,34
